EC-Lab ASCII FILE
Nb header lines : 55                          

Linear Polarization

Run on channel : 2 (SN 25892)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10.08.2018 15:01:16
Saved on :
	File : 1.4571_plasma.mpr
	Directory : D:\VLK\2018\Probe MPAL40\
	Host : 172.16.12.5
Device : VSP (SN 1524)
Address : USB
EC-Lab for windows v10.44 (software)
Internet server v10.44 (firmware)
Command interpretor v10.44 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
tR (h:m:s)          0:00:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0                   
dtR (s)             1,0000              
dE/dt               0,100               
dE/dt unit          mV/s                
Ei (V)              -0,300              
vs.                 Ref                 
EL (V)              1,500               
vs.                 Ref                 
record              I                   
dI                  0,000               
unit dI             µA                  
tI (s)              2,0000              
step percent        25                  
N                   5                   
E range min (V)     -10,000             
E range max (V)     10,000              
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   

mode	ox/red	error	control changes	time/s	control/V	Ewe/V	I/mA	P/W
2	1	0	0	7,200039818111691E+001	-2,9298526E-001	-2,9350322E-001	-1,0711044E-001	3,1437259E-005
2	1	0	1	7,400039813059266E+001	-2,9267731E-001	-2,9323578E-001	-1,0727588E-001	3,1457126E-005
2	1	0	0	7,600039808006841E+001	-2,9267731E-001	-2,9323578E-001	-1,0757494E-001	3,1544820E-005
2	1	0	1	7,800039802954416E+001	-2,9236937E-001	-2,9283458E-001	-1,0770856E-001	3,1540789E-005
2	1	0	0	8,000039797901991E+001	-2,9236937E-001	-2,9302564E-001	-1,0786764E-001	3,1607986E-005
2	1	0	0	8,200039792849566E+001	-2,9206145E-001	-2,9271996E-001	-1,0789309E-001	3,1582462E-005
2	1	0	1	8,400039787797141E+001	-2,9175350E-001	-2,9237610E-001	-1,0791218E-001	3,1550942E-005
2	1	0	0	8,600039782744716E+001	-2,9175350E-001	-2,9229969E-001	-1,0829396E-001	3,1654290E-005
2	1	0	1	8,800039777692291E+001	-2,9144555E-001	-2,9214686E-001	-1,0843394E-001	3,1678635E-005
2	1	0	0	9,000039772639866E+001	-2,9113761E-001	-2,9178390E-001	-1,0879663E-001	3,1745105E-005
2	1	0	1	9,200039767587441E+001	-2,9113761E-001	-2,9174569E-001	-1,0912751E-001	3,1837480E-005
2	1	0	0	9,400039762535016E+001	-2,9082969E-001	-2,9144001E-001	-1,0936930E-001	3,1874592E-005
2	1	0	1	9,600039757482591E+001	-2,9052174E-001	-2,9115346E-001	-1,0970654E-001	3,1941439E-005
2	1	0	0	9,800039752430166E+001	-2,9052174E-001	-2,9115346E-001	-1,0999288E-001	3,2024807E-005
2	1	0	0	1,000003974737774E+002	-2,9021379E-001	-2,9094332E-001	-1,1018377E-001	3,2057233E-005
2	1	0	1	1,020003974232532E+002	-2,8990585E-001	-2,9059947E-001	-1,1028557E-001	3,2048927E-005
2	1	0	0	1,040003973727289E+002	-2,8990585E-001	-2,9052305E-001	-1,1075008E-001	3,2175452E-005
2	1	0	1	1,060003973222047E+002	-2,8959793E-001	-2,9029378E-001	-1,1092824E-001	3,2201777E-005
2	1	0	0	1,080003972716804E+002	-2,8928998E-001	-2,9008365E-001	-1,1122094E-001	3,2263375E-005
2	1	0	1	1,100003972211562E+002	-2,8928998E-001	-2,8987351E-001	-1,1167271E-001	3,2370961E-005
2	1	0	0	1,120003971706319E+002	-2,8898203E-001	-2,8960606E-001	-1,1196540E-001	3,2425858E-005
2	1	0	1	1,140003971201077E+002	-2,8867409E-001	-2,8918579E-001	-1,1222629E-001	3,2454249E-005
2	1	0	1	1,160003970695834E+002	-2,8867409E-001	-2,8914759E-001	-1,1255716E-001	3,2545631E-005
2	1	0	0	1,180003970190592E+002	-2,8836617E-001	-2,8891832E-001	-1,1285622E-001	3,2606229E-005
2	1	0	1	1,200003969685349E+002	-2,8836617E-001	-2,8895652E-001	-1,1335890E-001	3,2755794E-005
2	1	0	0	1,220003969180107E+002	-2,8805822E-001	-2,8868908E-001	-1,1355615E-001	3,2782420E-005
2	1	0	1	1,240003968674864E+002	-2,8775027E-001	-2,8861266E-001	-1,1381067E-001	3,2847202E-005
2	1	0	0	1,260003968169622E+002	-2,8775027E-001	-2,8844073E-001	-1,1423699E-001	3,2950600E-005
2	1	0	1	1,280003967664379E+002	-2,8744233E-001	-2,8809687E-001	-1,1437698E-001	3,2951652E-005
2	1	0	0	1,300003967159137E+002	-2,8713441E-001	-2,8786764E-001	-1,1455514E-001	3,2976717E-005
2	1	0	1	1,320003966653894E+002	-2,8713441E-001	-2,8777209E-001	-1,1506418E-001	3,3112261E-005
2	1	0	1	1,340003966148652E+002	-2,8682646E-001	-2,8750464E-001	-1,1538233E-001	3,3172953E-005
2	1	0	0	1,360003965643409E+002	-2,8651851E-001	-2,8708437E-001	-1,1570048E-001	3,3215798E-005
2	1	0	1	1,380003965138167E+002	-2,8651851E-001	-2,8716078E-001	-1,1613316E-001	3,3348890E-005
2	1	0	0	1,400003964632924E+002	-2,8621057E-001	-2,8691244E-001	-1,1640041E-001	3,3396725E-005
2	1	0	1	1,420003964127682E+002	-2,8590265E-001	-2,8653035E-001	-1,1657221E-001	3,3401477E-005
2	1	0	0	1,440003963622439E+002	-2,8590265E-001	-2,8647304E-001	-1,1696672E-001	3,3507811E-005
2	1	0	1	1,460003963117197E+002	-2,8559470E-001	-2,8622469E-001	-1,1737394E-001	3,3595319E-005
2	1	0	0	1,480003962611954E+002	-2,8528675E-001	-2,8593814E-001	-1,1731031E-001	3,3543492E-005
2	1	0	1	1,500003962106712E+002	-2,8528675E-001	-2,8597635E-001	-1,1785117E-001	3,3702647E-005
2	1	0	1	1,520003961601469E+002	-2,8497881E-001	-2,8559428E-001	-1,1823295E-001	3,3766653E-005
2	1	0	0	1,540003961096227E+002	-2,8497881E-001	-2,8547966E-001	-1,1857019E-001	3,3849377E-005
2	1	0	1	1,560003960590984E+002	-2,8467089E-001	-2,8526950E-001	-1,1897742E-001	3,3940629E-005
2	1	0	0	1,580003960085742E+002	-2,8436294E-001	-2,8504026E-001	-1,1918104E-001	3,3971395E-005
